name,dtype,n_missing,%missing,n_non_missing,n_unique,all_missing,constant,infinite
RatecodeID,float64,71743,2.339,2995023,7,False,False,0
airport_fee,float64,71743,2.339,2995023,3,False,False,0
congestion_surcharge,float64,71743,2.339,2995023,3,False,False,0
passenger_count,float64,71743,2.339,2995023,10,False,False,0
store_and_fwd_flag,object,71743,2.339,2995023,2,False,False,0
DOLocationID,int64,0,0.0,3066766,261,False,False,0
PULocationID,int64,0,0.0,3066766,257,False,False,0
VendorID,int64,0,0.0,3066766,2,False,False,0
extra,float64,0,0.0,3066766,68,False,False,0
fare_amount,float64,0,0.0,3066766,6873,False,False,0
improvement_surcharge,float64,0,0.0,3066766,5,False,False,0
mta_tax,float64,0,0.0,3066766,10,False,False,0
payment_type,int64,0,0.0,3066766,5,False,False,0
tip_amount,float64,0,0.0,3066766,4036,False,False,0
tolls_amount,float64,0,0.0,3066766,776,False,False,0
total_amount,float64,0,0.0,3066766,15871,False,False,0
tpep_dropoff_datetime,datetime64[us],0,0.0,3066766,1611319,False,False,0
tpep_pickup_datetime,datetime64[us],0,0.0,3066766,1610975,False,False,0
trip_distance,float64,0,0.0,3066766,4387,False,False,0
