name,count_nonnull,n_missing,%missing,mean,median,std,var,min,q25,q75,max,iqr,skew,kurt,z_outliers
airport_fee,2995023,71743,2.3,0.10740860754658646,0.0,0.3556511325198119,0.1264877280626248,-1.25,0.0,0.0,1.25,0.0,2.7971087384966262,6.545145938158749,264567
congestion_surcharge,2995023,71743,2.3,2.274231283031883,2.5,0.7718454108677144,0.5957453382775508,-2.5,2.5,2.5,2.5,0.0,-3.5084301108257336,12.458352310323749,19718
extra,3066766,0,0.0,1.537841563392838,1.0,1.7895924702060662,3.2026412094182497,-7.5,0.0,2.5,12.5,2.5,1.268648123852176,2.1283702302773033,44696
fare_amount,3066766,0,0.0,18.36706861234277,12.8,17.807821939338393,317.1185222231818,-900.0,8.6,20.5,1160.1,11.9,3.2212102155548026,49.55446700358141,35090
improvement_surcharge,3066766,0,0.0,0.9820846781267297,1.0,0.1833528661374822,0.03361827352082947,-1.0,1.0,1.0,1.0,0.0,-10.486737781689921,109.46579408099736,31395
mta_tax,3066766,0,0.0,0.48828997712900246,0.5,0.1034640996165713,0.01070481990946779,-0.5,0.5,0.5,53.16,0.0,35.315434674593135,21970.425451538744,48701
passenger_count,2995023,71743,2.3,1.3625321074328978,1.0,0.8961199745510221,0.8030310087893244,0.0,1.0,1.0,9.0,0.0,2.875386152812636,9.514252531069394,70825
tip_amount,3066766,0,0.0,3.3679406710521778,2.72,3.826759457294066,14.644087943989577,-96.22,1.0,4.2,380.8,3.2,4.223831244562922,92.7565455650808,85668
tolls_amount,3066766,0,0.0,0.518490657585222,0.0,2.0175790257044626,4.070625124962569,-65.0,0.0,0.0,196.99,0.0,5.389350528235924,78.69950988954967,15729
total_amount,3066766,0,0.0,27.020383107155883,20.16,22.16358895249206,491.22467525502805,-751.0,15.4,28.7,1169.4,13.299999999999999,2.8328288447253342,26.59578837832979,87248
trip_distance,3066766,0,0.0,3.8473420306603128,1.8,249.58375606858064,62292.05129330077,0.0,1.06,3.33,258928.15,2.27,810.4075091325732,726436.9333619651,67
