name,dtype,missing_%,unique_count,example
RatecodeID,float64,2.3393698769322473,7,1.0
airport_fee,float64,2.3393698769322473,3,0.0
congestion_surcharge,float64,2.3393698769322473,3,2.5
passenger_count,float64,2.3393698769322473,10,1.0
store_and_fwd_flag,object,2.3393698769322473,2,N
DOLocationID,int64,0.0,261,141
PULocationID,int64,0.0,257,161
VendorID,int64,0.0,2,2
extra,float64,0.0,68,1.0
fare_amount,float64,0.0,6873,9.3
improvement_surcharge,float64,0.0,5,1.0
mta_tax,float64,0.0,10,0.5
payment_type,int64,0.0,5,2
tip_amount,float64,0.0,4036,0.0
tolls_amount,float64,0.0,776,0.0
total_amount,float64,0.0,15871,14.3
tpep_dropoff_datetime,datetime64[us],0.0,1611319,2023-01-01T00:40:36
tpep_pickup_datetime,datetime64[us],0.0,1610975,2023-01-01T00:32:10
trip_distance,float64,0.0,4387,0.97
